stage,rq,family,alignment,task,axis,condition,metric,estimate,value_text,ci_low,ci_high,p,q,n,is_primary,analysis_role,source_artifact,source_key
v2,rq3_causal_relocation,qwen,instruct,reader,arousal,inst_native_chat_reader,mean_c_net_rand,-3.398646374677921e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,instruct,reader,valence,inst_native_reader,mean_c_net_rand,5.362647316906892e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,qwen,instruct,reader,arousal,inst_native_reader,mean_c_net_rand,-3.398646374677921e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,instruct,reader,valence,deprecated_inst_reader_native_alias,mean_c_net_rand,5.362647316906892e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,qwen,instruct,reader,arousal,deprecated_inst_reader_native_alias,mean_c_net_rand,-3.398646374677921e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,instruct,self,valence,inst_native_chat_self,mean_c_net_rand,-1.4068857659330886e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,qwen,instruct,self,arousal,inst_native_chat_self,mean_c_net_rand,6.784069915858749e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,instruct,self,valence,inst_native_self,mean_c_net_rand,-1.4068857659330886e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,qwen,instruct,self,arousal,inst_native_self,mean_c_net_rand,6.784069915858749e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation,qwen,instruct,self,valence,deprecated_inst_self_native_alias,mean_c_net_rand,-1.4068857659330886e-05,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_v_net_rand
v2,rq3_causal_relocation,qwen,instruct,self,arousal,deprecated_inst_self_native_alias,mean_c_net_rand,6.784069915858749e-06,,,,,,,True,primary,v2/results/derived/v2_causal_dissociation_summary.json,c_a_net_rand
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::Intercept,5.76174584397612e-05,,,,,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.Intercept
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::C(family)[T.llama],-1.1214402322067203e-06,,-4.655368484324408e-05,4.431080437883064e-05,0.9614139162979236,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(family)[T.llama]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::C(family)[T.olmo],-8.004493027322888e-06,,-5.3436737638360246e-05,3.7427751583714474e-05,0.7298562060644385,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(family)[T.olmo]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::C(family)[T.qwen],1.3592061218636573e-05,,-2.534986273368132e-05,5.2533985170954465e-05,0.4939155843569477,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(family)[T.qwen]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::alignment,-9.511450747289442e-05,,-0.00017936627295181762,-1.0862741993971221e-05,0.026920687544953626,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::task,-9.776081935710694e-05,,-0.00018201258483603014,-1.3509053878183757e-05,0.022952309436270805,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(task)[T.self]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::alignment_x_task,0.00016289997228336232,,4.37499828891887e-05,0.0002820499616775359,0.007370322185755965,0.04422193311453579,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]:C(task)[T.self]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::relative_depth,-3.205684174300071e-05,,-0.0001340035320887509,6.988984860274947e-05,0.5376932376755055,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::alignment_x_relative_depth,8.972188489928383e-05,,-5.445250722672942e-05,0.00023389627702529708,0.22257294817793483,0.30407910709874675,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]:relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::task_x_relative_depth,0.00010758624085157658,,-3.658815127443662e-05,0.0002517606329775898,0.14358504562518687,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(task)[T.self]:relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::alignment_x_task_x_relative_depth,-0.000191723788875744,,-0.00039561716956725603,1.216959181576802e-05,0.06533171692559266,0.19599515077677798,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]:C(task)[T.self]:relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,valence,matched_plain_lmm,lmm_beta::GroupVar,0.0,,,,,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.Group Var
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::Intercept,-6.203841116478745e-06,,,,,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.Intercept
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::C(family)[T.llama],-4.1983322647844425e-06,,-1.5624789024490463e-05,7.228124494921579e-06,0.4714424942200165,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(family)[T.llama]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::C(family)[T.olmo],5.530646209327525e-06,,-5.895810550378495e-06,1.6957102969033545e-05,0.3427915645432986,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(family)[T.olmo]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::C(family)[T.qwen],-2.4702292840363263e-06,,-1.2264335078070098e-05,7.3238765099974445e-06,0.6210702494268032,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(family)[T.qwen]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::alignment,6.478835827740253e-06,,-1.4710941684153313e-05,2.766861333963382e-05,0.5489964082016039,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::task,1.3282829031261621e-06,,-1.9861494608767397e-05,2.251806041501972e-05,0.9022175653424532,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(task)[T.self]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::alignment_x_task,-1.6635263352334822e-05,,-4.660213409332387e-05,1.333160738865423e-05,0.27658683316872057,0.30407910709874675,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]:C(task)[T.self]
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::relative_depth,2.4880787737298492e-06,,-2.3152068637077434e-05,2.8128226184537133e-05,0.8491588670942651,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::alignment_x_relative_depth,-1.90136034997253e-05,,-5.52742477093351e-05,1.72470407098845e-05,0.30407910709874675,0.30407910709874675,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]:relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::task_x_relative_depth,-1.2477883088603175e-05,,-4.8738527298212974e-05,2.3782761121006624e-05,0.5000215833944643,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(task)[T.self]:relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::alignment_x_task_x_relative_depth,3.382532519484998e-05,,-1.7454969626767454e-05,8.510562001646741e-05,0.19607178069900266,0.30407910709874675,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.C(alignment)[T.inst]:C(task)[T.self]:relative_depth
v2,rq3_causal_relocation_lmm,cross_family,instruct_vs_base,reader_and_self,arousal,matched_plain_lmm,lmm_beta::GroupVar,0.0,,,,,,,False,control,v2/results/derived/v2_lmm_confirmatory.json,params.Group Var
v2,rq4_distribution_recovery,qwen,instruct_patching,reader,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,0.18932198793962088,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
v2,rq4_distribution_recovery,qwen,instruct_patching,self,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,0.18077639215888527,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
v2,rq4_distribution_recovery,llama,instruct_patching,reader,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,0.004991507628741976,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
v2,rq4_distribution_recovery,llama,instruct_patching,self,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,-0.006030468484044551,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
v2,rq4_distribution_recovery,gemma,instruct_patching,reader,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,-0.052013516797435405,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
v2,rq4_distribution_recovery,gemma,instruct_patching,self,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,0.0014354829415754854,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
v2,rq4_distribution_recovery,olmo,instruct_patching,reader,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,-0.17041305383855115,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
v2,rq4_distribution_recovery,olmo,instruct_patching,self,valence_arousal_joint,matched_plain_recovery,matched_auc_recovery,-0.16005750925495218,,,,,,,True,primary,v2/results/derived/v2_distribution_recovery_summary.json,auc_recovery_matched_plain
